,Funding Orgs
365,Deanship of Scientific Research (DSR) at King Fand University of Petroleum & Minerals (KFUPM) [DF181018]
366,Deanship of Scientific Research (DSR) at King Fand University of Petroleum & Minerals (KFUPM) [IN131005]
367,Deanship of Scientific Research (DSR) at King Fand University of Petroleum & Minerals (KFUPM) [IN171046]
368,Deanship of Scientific Research (DSR) at King Fand University of Petroleum & Minerals (KFUPM) [SR161019]
369,Deanship of Scientific Research (DSR) at King Fand University of Petroleum & Minerals (KFUPM) [SR181006]
370,Deanship of Scientific Research (DSR) at King Fand University of Petroleum and Minerals (KFUPM) [RG1305-12]
371,Deanship of Scientific Research (DSR) at the KFUPM [FT161001]
372,Deanship of Scientific Research (DSR) at the King Fahd University of Petroleum and Minerals (KFUPM) [IN121034]
373,"Deanship of Scientific Research (DSR) at the King Fahd University of Petroleum and Minerals (KFUPM) [IN161053, NSS 28 -2017]; United Arab Emirates University (UAEU)"
374,Deanship of Scientific Research (DSR) at the King Fahd University of Petroleum and Minerals (KFUPM) [IN161053]; National Aeronautics and Space AdministrationNational Aeronautics & Space Administration (NASA)
375,Deanship of Scientific Research (DSR) at the King Fahd University of Petroleum and Minerals (KFUPM) [IN161056]
376,Deanship of Scientific Research (DSR) at the King Fahd University of Petroleum and Minerals (KFUPM) [IN171011]
377,"Deanship of Scientific Research (DSR) at the King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia [DF181007]; KFUPM"
378,"Deanship of Scientific Research (DSR) at the King Fahd University of Petroleum and Minerals, Kingdom of Saudi Arabia"
379,"Deanship of Scientific Research (DSR) at the King Fand University of Petroleum and Minerals (KFUPM) [IN141051]; National Science, Space and Technology Center at the United Arab Emirates University (UAEU) [21R033-NSS Center 7-2017]"
380,Deanship of Scientific Research (DSR) at the King Fand University of Petroleum and Minerals (KFUPM) [IN161053]; United Arab Emirates University (UAEU)
381,"Deanship of Scientific Research (DSR) of King Fahd University of Petroleum & Minerals (KFUPM), Saudi Arabia [IN161025]"
382,Deanship of Scientific Research (DSR) of King Fahd University of Petroleum and Minerals (DSR) [SR151001]
383,Deanship of Scientific Research (DSR) of King Fahd University of Petroleum and Minerals (KFUPM) [IN101019]
384,Deanship of Scientific Research (DSR) of King Fahd University of Petroleum and Minerals (KFUPM) [IN131055]
385,"Deanship of Scientific Research (DSR) of King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia [IN161025]"
386,Deanship of Scientific Research (DSR) of King Fahd University of Petroleum and Minerals [SB181010]
387,"Deanship of Scientific Research (DSR) of King Fahd University of Petroleum and Minerals, Dhahran [DF181028]"
388,"Deanship of Scientific Research (DSR) of King Fahd University of Petroleum and Minerals, Dhahran [IN151034]"
389,Deanship of Scientific Research (DSR) of King Fand University of Petroleum and Minerals (DSR Startup Research Grant) [SR151001]
390,Deanship of Scientific Research (DSR) of the King Fahd University of Petroleum and Minerals (KFUPM) [IN131051]
391,Deanship of Scientific Research (DSR) of the King Fahd University of Petroleum and Minerals (KFUPM) [IN141045]
392,Deanship of Scientific Research (DSR) of the King Fahd University of Petroleum and Minerals (KFUPM) [IN171022]; KFUPM
393,"Deanship of Scientific Research (DSR), at King Fahd University of Petroleum & Minerals (KFUPM) [SB191030]"
394,"Deanship of Scientific Research (DSR), at King Fahd University of Petroleum and Minerals (KFUPM) [SB191018]"
395,"Deanship of Scientific Research (DSR), Imam Abdulrahman Bin Faisal University [2018-004-IRMC]; Deanship of Scientific Research, King Fahd University of Petroleum and Minerals [DISC1504]"
396,"Deanship of Scientific Research (DSR), KFUPM [IN161036]"
397,"Deanship of Scientific Research (DSR), KFUPM Saudi Arabia, through Center of Research Excellence in Desalination and Water Treatment (CoRE-DWT) [DISC1501]"
398,"Deanship of Scientific Research (DSR), KFUPM, Saudi Arabia [IN161036]"
399,"Deanship of Scientific Research (DSR), King Abdulaziz University, Jeddah [D-075-363-1438]"
400,"Deanship of Scientific Research (DSR), King Abdulaziz University, Jeddah [DF-262-611-1441]"
401,"Deanship of Scientific Research (DSR), King Abdulaziz University, Jeddah [DF-867-130-1441]"
402,"Deanship of Scientific Research (DSR), King Fahd University of Petroleum & Minerals (KFUPM), Saudi Arabia"
403,"Deanship of Scientific Research (DSR), King Fahd University of Petroleum and Minerals (KFUPM) [IN161015]"
404,"Deanship of Scientific Research (DSR), King Fahd University of Petroleum and Minerals (KFUPM) [SB151005]"
405,"Deanship of Scientific Research (DSR), King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia [DF181007]; KFUPM"
406,"Deanship of Scientific Research (DSR), King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia [FT161006]"
407,"Deanship of Scientific Research (DSR), King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia [IN131047]"
408,"Deanship of Scientific Research (DSR), King Fahd University of Petroleum and Minerals [IN161018]; KFUPM"
409,"Deanship of Scientific Research (DSR), King Fahd University of Petroleum and Minerals [IN161018]; King Fahd University of Petroleum and Minerals (KFUPM)"
410,"Deanship of Scientific Research (DSR), King Fahd University of Petroleum and Minerals, Dhahran [IN171007]"
411,"Deanship of Scientific Research (DSR), King Fahd University of Petroleum and Minerals, through Center of Research Excellence in Desalination and Water Treatment (CoRE-DWT) [DISC1501]"
412,"Deanship of Scientific Research (DSR), University of Tabuk, Tabuk, Saudi Arabia [S-1440-0268]"
413,Deanship of Scientific Research (DSR); King Fahd University of Petroleum & Minerals (KFUPM)
414,Deanship of Scientific Research [IN141048]; King Fahd University of Petroleum
415,Deanship of Scientific Research at KFUPM [DF191037]
416,Deanship of Scientific Research at KFUPM [FT151004]
417,Deanship of Scientific Research at KFUPM [IN131031]
418,Deanship of Scientific Research at KFUPM [IN161057]
419,Deanship of Scientific Research at KFUPM [SB181016]
420,Deanship of Scientific Research at King Fahd University of Petroleum & Minerals (KFUPM) [IN131014]
421,Deanship of Scientific Research at King Fahd University of Petroleum & Minerals (KFUPM) [IN131049]
422,Deanship of Scientific Research at King Fahd University of Petroleum & Minerals (KFUPM) [IN131063]
423,Deanship of Scientific Research at King Fahd University of Petroleum & Minerals (KFUPM) [IN141041]
424,Deanship of Scientific Research at King Fahd University of Petroleum & Minerals (KFUPM) [IN161031]
425,Deanship of Scientific Research at King Fahd University of Petroleum & Minerals (KFUPM) [IN161035]
426,Deanship of Scientific Research at King Fahd University of Petroleum & Minerals (KFUPM) [IN171033]
427,Deanship of Scientific Research at King Fahd University of Petroleum & Minerals (KFUPM) [IN171041]
428,"Deanship of Scientific Research at King Fahd University of Petroleum & Minerals (KFUPM) [SR171005]; Center of Excellence in Nanotechnology (CENT), King Fahd University of Petroleum and Minerals (KFUPM)"
429,"Deanship of Scientific Research at King Fahd University of Petroleum & Minerals (KFUPM), Saudi Arabia [SR191008]"
430,"Deanship of Scientific Research at King Fahd University of Petroleum & Minerals (KFUPM); King Abdulaziz City for Science and Technology (KACST) under the National Science, Technology, and Innovation Plan [13INF1561-04]"
431,"Deanship of Scientific Research at King Fahd University of Petroleum & Minerals, Dhahran, Saudi Arabia [DF191035]"
432,"Deanship of Scientific Research at King Fahd University of Petroleum AMP; Minerals (KFUPM); King Abdulaziz City for Science and Technology (KACST) under the National Science, Technology, and Innovation Plan [13-INF2452-04]"
433,Deanship of Scientific Research at King Fahd University of Petroleum and & Minerals (KFUPM) [RG1416]
434,Deanship of Scientific Research at King Fahd University of Petroleum and Minerals
435,Deanship of Scientific Research at King Fahd University of Petroleum and Minerals (KFUPM) [IN 171001]; King Abdullah City for Atomic and Renewable Energy
436,Deanship of Scientific Research at King Fahd University of Petroleum and Minerals (KFUPM) [IN 171001]; King Abdullah City for Atomic and Renewable Energy (K. A. CARE)
437,Deanship of Scientific Research at King Fahd University of Petroleum and Minerals (KFUPM) [IN 171001]; King Abdullah City for Atomic and Renewable Energy (K.A. CARE)
438,Deanship of Scientific Research at King Fahd University of Petroleum and Minerals (KFUPM) [IN111013]
439,Deanship of Scientific Research at King Fahd University of Petroleum and Minerals (KFUPM) [IN171001]; King Abdullah City for Atomic & Renewable Energy
440,Deanship of Scientific Research at King Fahd University of Petroleum and Minerals (KFUPM) [RG1416]
441,"Deanship of Scientific Research at King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia [IN131008]"
442,"deanship of scientific research at King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia [RG1319-1]"
443,"Deanship of Scientific Research at King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia [RG171001]; King Abdullah City for Atomic and Renewable Energy (K.A. CARE) [KACARE182-GSGP-10, KACARE182RFP-03]; KFUPM Endowment through Mr. Luhaidan Scholarship Program"
444,"Deanship of Scientific Research at King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia [SR171023]"
445,Deanship of Scientific Research at King Fahd University of Petroleum and Minerals [151024]; KFUPM
446,Deanship of Scientific Research at King Fahd University of Petroleum and Minerals [DF181012]
447,Deanship of Scientific Research at King Fahd University of Petroleum and Minerals [IN131008]
448,Deanship of Scientific Research at King Fahd University of Petroleum and Minerals [IN131056]
449,Deanship of Scientific Research at King Fahd University of Petroleum and Minerals [IN14012]
450,Deanship of Scientific Research at King Fahd University of Petroleum and Minerals [IN151024]; KFUPM
451,deanship of scientific research at King Fahd University of Petroleum and Minerals [IN161004]
452,Deanship of Scientific Research at King Fahd University of Petroleum and Minerals [IN171005]
453,deanship of scientific research at King Fahd University of Petroleum and Minerals [RG1319-1]
454,"Deanship of Scientific Research at King Fahd University of Petroleum and Minerals [RG1422-1, RG1422-2, RG181004]"
455,Deanship of Scientific Research at King Fahd University of Petroleum and Minerals [SB181033]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [51604013]
456,Deanship of Scientific Research at King Fahd University of Petroleum and Minerals [SB181033]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [51604013]; State Major Science and Technology Special Project of China during the 13th Five-Year Plan [2016ZX05025-003-007]
457,"Deanship of Scientific Research at King Fahd University of Petroleum and Minerals [SB191032]; Ministry of Education of SingaporeMinistry of Education, Singapore [R143-000-A66-112]"
458,"Deanship of Scientific Research at King Fahd University of Petroleum and Minerals [SR181033]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [51604013]; State Major Science and Technology Special Project of China [2016ZX05014-004, 2016ZX05025-003-007]"
459,Deanship of Scientific Research at King Fahd University of Petroleum and Minerals in KSA [SB141009]
460,Deanship of Scientific Research at King Fahd University of Petroleum and Minerals through an undergraduate student research project [USRG-1701]
461,"Deanship of Scientific Research at King Fahd University of Petroleum and Minerals, Saudi Arabia"
462,"Deanship of Scientific Research at King Fahd University of Petroleum and Minerals, Saudi Arabia [IN151018]"
463,Deanship of Scientific Research at King Fahd University of Petroleum Minerals
464,deanship of scientific research at King Fahd University of Petroleum Minerals [DF191052]
465,Deanship of Scientific Research at King Fahd University of Petroleum Minerals [FT141006]
466,Deanship of Scientific Research at King Fahd University of Petroleum Minerals [IN141040]
467,deanship of scientific research at King Fahd University of Petroleum Minerals [IN171032]
468,deanship of scientific research at King Fahd University of Petroleum Minerals [IN171039]
469,Deanship of Scientific Research at King Fahd University of Petroleum Minerals [IP142-MATH-111]
470,"Deanship of Scientific Research at King Fahd University of Petroleum Minerals [RG1320-1, RG1320-2]"
471,"Deanship of Scientific Research at King Fahd University of Petroleum Minerals [RG1422-1, RG1422-2]"
472,"Deanship of Scientific Research at King Fahd University of Petroleum Minerals [RG171006, RG1422-1, RG1422-2]"
473,Deanship of Scientific Research at King Fahd University of Petroleum Minerals [RG171006]
474,Deanship of Scientific Research at King Fahd University of Petroleum Minerals [SR171003]
475,Deanship of Scientific Research at King Fahd University of Petroleum Minerals [SR181017]
476,Deanship of Scientific Research at King Fand University of Petroleum & Minerals (KFUPM) [IN161031]
477,Deanship of Scientific Research at King Fand University of Petroleum and Minerals (KFUPM) [151024]
478,Deanship of Scientific research at King Fand University of Petroleum and Minerals (KFUPM) [IN171001]
479,Deanship of Scientific Research at King Fand University of Petroleum and Minerals [DF181021]
480,"Deanship of Scientific Research at King Fand University of Petroleum and Minerals, Saudi Arabia [IN161028]"
481,Deanship of Scientific Research at King Khalid University [R.G.P1]
482,Deanship of Scientific Research at King Khalid University Saudi Arabia [R.G.P.2/51/40]
483,Deanship of Scientific Research at King Saud UniversityKing Saud University [RG-1435-079]
484,Deanship of Scientific Research at King Saud UniversityKing Saud University [RG-1435023]
485,Deanship of Scientific Research at King Saud UniversityKing Saud University [RG-1436-032]
486,"Deanship of Scientific Research at the King Fahd University of Petroleum & Minerals (KFUPM) [KAUST004]; National Plan for Science, Technology, and Innovation (Maarifah)-King Abdulaziz City for Science and Technology-through the Science and Technology Unit at KFUPM-the Kingdom of Saudi Arabia [15-ELE4157-04]"
487,"Deanship of Scientific Research at the King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia [DF181007]"
488,Deanship of Scientific Research at the King Fahd University of Petroleum and Minerals [KAUST002]; King Abdullah University of Science and Technology Office of Sponsored ResearchKing Abdullah University of Science & Technology [OSR 2016-KKI-2899]
489,Deanship of Scientific Research at the King Fahd University of Petroleum and Minerals [RG1416]
490,"Deanship of Scientific Research at the King Fahd University of Petroleum and Minerals, Dhahran, Kingdom of Saudi Arabia [DF191014]"
491,"Deanship of Scientific Research at the King Fahd University of Petroleum and Minerals, Saudi Arabia [IN151016]"
492,"Deanship of Scientific Research at the King Fahd University of Petroleum and Minerals, Saudi Arabia [IN161024]"
493,deanship of scientific research in King Fahd University of Petroleum and Minerals (KFUPM) [SR181007]
494,"Deanship of Scientific Research in King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia [IN161047]"
495,Deanship of Scientific Research in King Fahd University of Petroleum and Minerals [DF181013]
496,"Deanship of Scientific Research in the King Fahd University of Petroleum and Minerals (KFUPM) [SB181019]; Effat University, Jeddah, Saudi Arabia, through the Research and Consultancy Institute"
497,"Deanship of Scientific Research King Fand University of Petroleum and Minerals [DF181007]; Youth Scientific and Innovation Research Team for Advanced Surface Functional Materials, Southwest Petroleum University [2018CXTD06]"
498,"Deanship of Scientific Research of King Fahd University of Petroleum & Minerals, Saudi Arabia [SB171014]"
499,"Deanship of Scientific Research of King Fahd University of Petroleum and Minerals (Dhahran, Saudi Arabia) [RG 1406]"
500,Deanship of Scientific Research of King Fahd University of Petroleum and Minerals (KFUPM) [RG181003]; K.A.CARE King Abdullah City for Atomic and Renewable Energy
501,Deanship of Scientific Research of King Fahd University of Petroleum and Minerals [IN131043]
502,Deanship of Scientific Research of King Fahd University of Petroleum and Minerals [IN171001]
503,"Deanship of Scientific Research of King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia [IN161060]"
504,Deanship of Scientific Research of the King Fahd University of Petroleum and Minerals through the Electrical Power & Energy Systems Research Group [RG171002]; King Abdullah City for Atomic and Renewable Energy (K. A. CARE)
505,Deanship of Scientific Research through the King Fahd University of Petroleum and Minerals [KAUST002]; King Abdullah University of Science and Technology through the Office of Sponsored Research [OSR 2016-KKI-2899]
506,"Deanship of Scientific Research, KFUPM [181002]; Research and Society Service Directorate (DP2M), Directorate General of the Research Strengthening and Developing, Ministry of Research, Technology and Higher Education, Government of Republic Indonesia at Syiah Kuala University, Aceh, Indonesia [T/46/D2.3/KK.04.05/2019]"
507,"Deanship of Scientific Research, KFUPM [RG-1401]; King Abdulaziz City for Science and Technology (KACST) through the Science and Technology Unit at KFUPM as part of the National Science, Technology, and Innovation Plan [13-OIL-1694-04]"
508,"Deanship of Scientific Research, KFUPM [RG-161002, RG 181002]"
509,"Deanship of Scientific Research, KFUPM project [IN131047]"
510,"Deanship of Scientific Research, KFUPM, Saudi Arabia [IN131047]"
511,"Deanship of Scientific Research, King Fahd University of Petroleum & Minerals (KFUPM) [DSR IN121016]"
512,"Deanship of Scientific Research, King Fahd University of Petroleum & Minerals (KFUPM), Dhahran, Saudi Arabia [RG 1405-1]; King Abdullah City for Atomic and Renewable Energy (K.A.CARE) [KACARE182-RFP-02, KACARE182-GSGP-05]"
513,"Deanship of Scientific Research, King Fahd University of Petroleum & Minerals (KFUPM), Saudi Arabia [IN161009]"
514,"Deanship of Scientific Research, King Fahd University of Petroleum & Minerals, Dhahran, Saudi Arabia [JF101011]"
515,"Deanship of Scientific Research, King Fahd University of Petroleum & Minerals, Dhahran, Saudi Arabia [RG1403-1/2]"
516,"Deanship of Scientific Research, King Fahd University of Petroleum & Minerals, Dharan, KSA"
517,"Deanship of Scientific Research, King Fahd University of Petroleum & Minerals, through the Electrical Power and Energy Systems Research Group [RG1420-12]"
518,"Deanship of Scientific Research, King Fahd University of Petroleum & Minerals, through the Electrical Power and Energy Systems Research Group [RG171002]"
519,"Deanship of Scientific Research, King Fahd University of Petroleum and Minerals (KFUPM) [IN161018]"
520,"Deanship of Scientific Research, King Fahd University of Petroleum and Minerals (KFUPM) [RG 1222]; Center for Engineering Research at the Research Institute; Department of Civil and Environmental Engineering at KFUPM; Civil Engineering Department, Unayzah Engineering College, Qassim University"
521,"Deanship of Scientific Research, King Fahd University of Petroleum and Minerals [FT161010]"
522,"Deanship of Scientific Research, King Fahd University of Petroleum and Minerals [IN161002]"
523,"Deanship of Scientific Research, King Fahd University of Petroleum and Minerals [IN161034]; King Fand University of Petroleum and Minerals"
524,"Deanship of Scientific Research, King Fahd University Of Petroleum And Minerals [NUS15107/8]"
525,"Deanship of Scientific Research, King Fahd University of Petroleum and Minerals [SR171009];  [E/EELTg-01/2018/01]"
526,"Deanship of Scientific Research, King Fahd University of Petroleum and Minerals, Dhahran [SB191047]"
527,"Deanship of Scientific Research, King Fahd University of Petroleum and Minerals, Saudi Arabia [IN161036]"
528,"Deanship of Scientific Research, King Fahd University of Petroleum and Minerals, through Electrical Power and Energy Systems Research Group [RG171002]"
529,"Deanship of Scientific Research, King Fahd University of Petroleum Mineral [RG 1222]"
530,"Deanship of Scientific Research, King Fahd University of Petroleum Minerals [IN121028, IN161002]"
531,"Deanship of Scientific Research, King Fahd University of Petroleum Minerals [IN161002]"
532,"Deanship of Scientific Research, King Fahd University of Petroleum Minerals [IN161059]"
533,"Deanship of Scientific Research, King Fahd University of Petroleum Minerals [RG1404]; King Abdullah City for Atomic and Renewable Energy (K.A.CARE)"
534,"Deanship of Scientific Research, King Fahd University of Petroleum Minerals [RG171002]"
535,"Deanship of Scientific Research, King Fand University of Petroleum & Minerals, through the Electrical Power and Energy Systems Research Group [RG171002]"
536,"Deanship of Scientific Research, King Fand University of Petroleum and Minerals, Dhahran, Saudi Arabia [IN161002]"
537,"Deanship of Scientific Research, King Saud UniversityKing Saud University"
538,"Deanship of Scientific Research; Deanship of Scientific Research, King Khalid University, Ministry of Education, Kingdom of Saudi Arabia [R.G.P.1/62/40]"
539,Deanship of Scientific Research; King Fahd University of Petroleum Minerals
540,"Deanship of Scientific Research; TIC on CCS at KFUPM [IN161027, DF181020]"
541,Deanship of Scientific Research(DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [IN151014]
542,Deanship of Scientific Research(DSR) at King Fand University of Petroleum & Minerals (KFUPM) [IN151014]
543,"Deanship of the Scientific Research, KFUPM; College of Petroleum and Geosciences, KFUPM [RG 1401]"
544,"Department of Aerospace Engineering, King Fahd University of Petroleum & Minerals (KFUPM), Dhahran, Saudi Arabia [IN171048]; KFUPM, Dhahran, Saudi Arabia"
545,Department of Chemical Engineering and the Center of Research Excellence in Nanotechnology at King Fahd University of Petroleum and Minerals
546,Department of Chemical Engineering; Center for Integrative Petroleum Research
547,Department of Chemical Engineering; Center for Integrative Petroleum Research; Petroleum Engineering Department
548,department of chemistry in King Fahd University of Petroleum and Minerals
549,"Department of Chemistry, University of Agriculture, Faisalabad, Pakistan; Department of Chemistry, University of Sargodha, Sargodha, Pakistan"
550,Department of Civil and Environmental Engineering at King Fahd University of Petroleum & Minerals (KFUPM); Research Institute at King Fahd University of Petroleum & Minerals (KFUPM)
551,Department of Civil and Environmental Engineering; Research Institute at King Fand University of Petroleum & Minerals (KFUPM)
552,"Department of Computer Engineering, King Fahd University of Petroleum and Minerals; Najran University; Special Research Fund (BOF) of Hasselt University, Belgium"
553,"department of Electrical and Computer Engineering, the University of New Brunswick; National Science and Engineering Research Council (NSERC) of CanadaNatural Sciences and Engineering Research Council of Canada; University of KFUPM, Saudi Arabia"
554,Department of Mechanical Engineering of King Fahd University of Petroleum and Minerals
555,Department of Petroleum Engineering at King Fahd University of Petroleum Minerals
556,"Department of Public Instruction of the Canton of Geneva, Switzerland; Societe de Physique et d'Histoire Naturelle de Geneve"
557,"Departments of Physics and Chemistry, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia"
558,"Deutsche Forschungsgemeinschaft - German Research FoundationGerman Research Foundation (DFG) [DFG SE 647/17-1, SE 647/17-2]"
559,"DIH (Design and Innovation Hub), Indian Institute of Technology (Banaras Hindu University), Varanasi"
560,"Dongguk University; Center of Research Excellence in Nanotechnology, King Fahd University of Petroleum and Minerals, Saudi Arabia"
561,DP2M DIKTI (Directorate of Research and Public Service of Directorate General of Higher Education)-Ministry of Education and Culture of the Republic of Indonesia under the grant of Magister Thesis Scheme 2020 [B/87/E3/RA.00/2020]
562,"DSR (KFUPM), Saudi Arabia [IN131064]"
563,"DSR [RG1205-1, RG1205-2]"
564,DSR at KFUPM [DISC1504]
565,DSR at KFUPM [IN41048]
566,"DSR at KFUPM through the distinguished professorship award [IN161965]; National Plan for Science, Technology and Innovation (MAARIFAH) KACST through the Science AMP; Technology Unit at KFUPM [15-ELE4117-04]"
567,"DSR at King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia [RG1205-12]"
568,"DSR at King Fahd University of Petroleum and Minerals; KFUPM Grant [KAUST004]; King Abdulaziz City for Science and Technology (KACST) via ""KACST-TIC in Solid State Lighting [EE2381, KACST TIC R2-FP-008]"
569,DSR of King Fahd University of Petroleum and Minerals (KFUPM) [DF181017]; King Abdullah City for Atomic and Renewable Energy (K.A.CARE)
570,DSR of King Fahd University of Petroleum and Minerals (KFUPM) [IN141017]
571,DSR of King Fahd University of Petroleum and Minerals (KFUPM) [IN141017]; King Abdullah City for Atomic and Renewable Energy (K.A.CARE)
572,DSR of King Fahd University of Petroleum and Minerals (KFUPM) [IN151010]
573,DSR of King Fahd University of Petroleum and Minerals (KFUPM) [IN151031]
574,DSR of King Fahd University of Petroleum and Minerals (KFUPM) [IN151034]
575,DSR of King Fahd University of Petroleum and Minerals (KFUPM) through the Internal Funded Project [IN151010]
576,DSR of King Fahd University of Petroleum and Minerals [IN151010]
577,"DSR of King Fand University of Petroleum and Minerals (KFUPM), Dhahran [IN151031]"
578,"DSR, KFUPM [IN171015]"
579,"DSR, KFUPM [SR-161006]"
580,DST-SERB [EMR/2016/005124]
581,DST-SERB Project [MTR/2017/000135]
582,"DST-SERBDepartment of Science & Technology (India)Science Engineering Research Board (SERB), India [EMR/2016/005124];  [MOST 105-2115-M-039-002-MY3]"
583,"DST-SERBDepartment of Science & Technology (India)Science Engineering Research Board (SERB), India [EMR/2016/005124]; Center for General Education, China Medical University, Taichung, Taiwan, ROC."
584,Electrical Engineering Department at King Fahd University of Petroleum & Minerals (KFUPM) [IN161043]
585,Electrical Engineering Department at King Fahd University of Petroleum and Minerals (KFUPM)
586,"Enviroklean Product Development, Inc. (EPDI) [CIPR2324]"
587,Faculty Research Support Grant of IIT (BHU)
588,"Federal Urdu University of Arts, Science and Technology (FUUAST); King Fand University of Petroleum and Minerals, Dhahran, Saudi Arabia"
589,Fisheries Program I: Population Dynamics and Stock Assessment from Saudi Arabian Oil Company [CEW02374]; Fisheries Program II: Essential Fish Habitats from Saudi Arabian Oil Company [CEW02375]
590,Fisheries Program I: Population dynamics and Stock Assessment from Saudi Arabian Oil Company; Fisheries Program II: Essential Fish Habitats from Saudi Arabian Oil Company
591,"Florida Institute of Oceanography; GEOMAR Research Institute (Kiel, Germany); CSL - Center for Carbonate Research of the University of Miami"
592,Fundacao para a Ciencia e TecnologiaPortuguese Foundation for Science and Technology [SFRH/BPD/108949/2015]; FCT -Foundation for Science and TechnologyPortuguese Foundation for Science and Technology [DID/Multi/04326/2013]
593,Geosciences Department of King Fahd University of Petroleum and Minerals (KFUPM); Centre for Integrative Petroleum Research of King Fahd University of Petroleum and Minerals (KFUPM)
594,Ghent UniversityGhent University; King Fahd University of Petroleum and Minerals
595,HEC-PakistanHigher Education Commission of Pakistan
596,HEC-PakistanHigher Education Commission of Pakistan; KFUPM [IN161012]
597,High Impact Research MoE (Ministry of Education Malaysia) [UM.C/625/1/HIR/MoE/ENG/40 (D000040-16001)]
598,High-Impact Research scheme [UM.C/625/1/HIR/242]; FRGS [FP039-2016]; IPPP [PG053-2016A]; HIR-MOHE [UM.S/P/628/3SC21]; KFUPM [SR151005]
599,"High-Impact Research scheme Grant of the University of Malaya, Malaysia [UM.C/625/1/HIR/242]; UMRG scheme Grant of the University of Malaya, Malaysia [RP007-13AET]; HIR-MOHE Grant of the University of Malaya, Malaysia [UM.S/P/628/3SC21]; KFUPM start up project [SR151005]; CENT-KFUPM"
600,"Higher Education Commission (HEC) of Pakistan under ""HEC Indigenous 5000 fellowships Scheme"""
601,Higher Education Commission (HEC) PakistanHigher Education Commission of Pakistan
602,"higher education commission (HEC) PakistanHigher Education Commission of Pakistan [SRGP-21-1669]; Food and Biotechnology Research Center FBRC, PCSIR Labs, complex Lahore; Research Institute at the King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia"
603,"Higher Education Commission (HEC), PakistanHigher Education Commission of Pakistan [20-2(14)/ASIP/R&D/HEC/18/000914(NTU, Fbd)/32]"
604,Higher Education Commission of Pakistan (HEC) under International Research Support Initiative Program (IRSIP)
605,Higher Education Commission of Pakistan (IRSIP program) [1-8/HEC/HRD/2017/8079]
606,Higher Education Commission of PakistanHigher Education Commission of Pakistan
607,"Higher Education Commission of PakistanHigher Education Commission of Pakistan [HEC/2013/1114, 1314]; Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [SR161009]"
608,Higher Education Commission PakistanHigher Education Commission of Pakistan
609,Higher Education Commission PakistanHigher Education Commission of Pakistan [SRGP-21-1669]
610,"Human Resources and Development (M.H.R.D.), New Delhi"
611,"Imam Abdulrahman Bin Faisal University (IAU) [2016-134-Sci]; King Fahd University of Petroleum & Minerals (KFUPM) [161002]; Center for Excellence in Nanotechnology (CENT), KFUPM, Saudi Arabia"
612,"Imam Abdulrahman Bin Faisal University, Dammam, Saudi Arabia [2019-072-IRMC]"
613,"Imam Abdulrahman Bin Faisal University, Saudi Arabia [2018-086-IRMC]"
614,"Indigenous 5000 Ph.D. fellowship program (Phase-II, Batch-III) in Science and Technology; HEC, PakistanHigher Education Commission of Pakistan [NRPU-5198-(2016)]"
615,Indonesia Endowment Fund for Education (LPDP) via a Beasiswa Unggulan Dosen Indonesia-Dalam Negeri (BUDI-DN) scholarship
616,"Information Technology Centre at King Fand University of Petroleum and Minerals (KFUPM), Saudi Arabia"
617,Institut Teknologi Bandung research grant
618,"Institute for Research and Medical Consultations, Imam Abdulrahman Bin Faisal University [IRB-2017-334-IRMC]; King Fahad University of Petroleum and Minerals [RG1421]"
619,"Institute of Bioengineering and Nanotechnology (Biomedical Research Council, Agency for Science, Technology and Research, Singapore)Agency for Science Technology & Research (ASTAR)"
620,"Institute of Research and Medical Consultation, Imam Abdulrahman Bin Faisal University, Dammam, Saudi Arabia"
621,"Italian Association for Cancer ResearchAssociazione Italiana per la Ricerca sul Cancro (AIRC) [IG 15844]; King Fahd University of Petroleum and Minerals [5X1000CRO-2011, IN171005]"
622,Joint Research Program of Ministry of Education [6141A02022242]; Fundamental Research Funds for the Central UniversitiesFundamental Research Funds for the Central Universities [FRF-TP-19-014A2]
